count_PESONET_OUT	Category	CONFIRMED_FRAUD	NON_FRAUD	Grand Total	Share	PercentBad	PercentGood	WoE	IV
0.2 - <0.4	766	2911	3677	0.0075	0.0936	0.006	-2.75	0.24
0.4 - <0.6	786	9466	10252	0.0208	0.096	0.0195	-1.59	0.12
0.6 - <0.8	464	11093	11557	0.0234	0.0567	0.0229	-0.91	0.03
Other	1493	87184	88677	0.1798	0.1824	0.1798	-0.01	0.0
Grand Total	8184	485005	493189	1.0	1.0	1.0	0.0	0.45

weekday_entropy	Category	CONFIRMED_FRAUD	NON_FRAUD	Grand Total	Share	PercentBad	PercentGood	WoE	IV
0.0 - <0.5	3545	386367	389912	0.7906	0.4332	0.7966	0.61	0.22
0.5 - <1.0	420	14515	14935	0.0303	0.0513	0.0299	-0.54	0.01
1.0 - <1.5	484	30273	30757	0.0624	0.0591	0.0624	0.05	0.0
1.5 - <2.0	689	29751	30440	0.0617	0.0842	0.0613	-0.32	0.01
2+	3046	24099	27145	0.055	0.3722	0.0497	-2.01	0.65
Grand Total	8184	485005	493189	1.0	1.0	1.0	0.0	0.89

hour_entropy	Category	CONFIRMED_FRAUD	NON_FRAUD	Grand Total	Share	PercentBad	PercentGood	WoE	IV
0 - <2	4237	443674	447911	0.9082	0.5177	0.9148	0.57	0.23
2 - <4	2103	40628	42731	0.0866	0.257	0.0838	-1.12	0.19
4+	1844	703	2547	0.0052	0.2253	0.0014	-5.05	1.13
Grand Total	8184	485005	493189	1.0	1.0	1.0	0.0	1.55

source_entropy_in	Category	CONFIRMED_FRAUD	NON_FRAUD	Grand Total	Share	PercentBad	PercentGood	WoE	IV
0 - <2	4925	479678	484603	0.9826	0.6018	0.989	0.5	0.19
2 - <4	2015	5003	7018	0.0142	0.2462	0.0103	-3.17	0.75
4 - <6	1075	281	1356	0.0027	0.1314	0.0006	-5.42	0.71
6+	169	43	212	0.0004	0.0207	0.0001	-5.45	0.11
Grand Total	8184	485005	493189	1.0	1.0	1.0	0.0	1.76

destination_entropy_out	Category	CONFIRMED_FRAUD	NON_FRAUD	Grand Total	Share	PercentBad	PercentGood	WoE	IV
0 - <2	5362	478137	483499	0.9804	0.6552	0.9858	0.41	0.14
10+	53	0	53	0.0001	0.0065	0.0	-8.78	0.06
2 - <4	524	6414	6938	0.0141	0.064	0.0132	-1.58	0.08
4 - <6	692	375	1067	0.0022	0.0846	0.0008	-4.69	0.39
6 - <8	877	72	949	0.0019	0.1072	0.0001	-6.58	0.7
8 - <10	676	7	683	0.0014	0.0826	0.0	-8.65	0.71
Grand Total	8184	485005	493189	1.0	1.0	1.0	0.0	2.08

txn_count_vol_score_wk1	Category	CONFIRMED_FRAUD	NON_FRAUD	Grand Total	Share	PercentBad	PercentGood	WoE	IV
0 - <5	8144	484985	493129	0.9999	0.9951	1.0	0.0	0.0
10+	12	8	20	0.0	0.0015	0.0	-4.49	0.01
5 - <10	28	12	40	0.0001	0.0034	0.0	-4.93	0.02
Grand Total	8184	485005	493189	1.0	1.0	1.0	0.0	0.02

txn_count_vol_score_wk2	Category	CONFIRMED_FRAUD	NON_FRAUD	Grand Total	Share	PercentBad	PercentGood	WoE	IV
0 - <5	8168	484996	493164	0.9999	0.998	1.0	0.0	0.0
10+	5	3	8	0.0	0.0006	0.0	-4.59	0.0
5 - <10	11	6	17	0.0	0.0013	0.0	-4.69	0.01
Grand Total	8184	485005	493189	1.0	1.0	1.0	0.0	0.01

txn_count_vol_score_wk3	Category	CONFIRMED_FRAUD	NON_FRAUD	Grand Total	Share	PercentBad	PercentGood	WoE	IV
0 - <5	8118	484989	493107	0.9998	0.9919	1.0	0.01	0.0
10+	24	8	32	0.0001	0.0029	0.0	-5.18	0.02
5 - <10	42	8	50	0.0001	0.0051	0.0	-5.74	0.03
Grand Total	8184	485005	493189	1.0	1.0	1.0	0.0	0.04

txn_count_vol_score_wk4	Category	CONFIRMED_FRAUD	NON_FRAUD	Grand Total	Share	PercentBad	PercentGood	WoE	IV
0 - <5	8168	484999	493167	1.0	0.998	1.0	0.0	0.0
10+	6	2	8	0.0	0.0007	0.0	-5.18	0.0
5 - <10	10	4	14	0.0	0.0012	0.0	-5.0	0.01
Grand Total	8184	485005	493189	1.0	1.0	1.0	0.0	0.01

cv_time_btwn_txns	Category	CONFIRMED_FRAUD	NON_FRAUD	Grand Total	Share	PercentBad	PercentGood	WoE	IV
0 - <5	7259	484862	492121	0.9978	0.887	0.9997	0.12	0.01
10 - <15	74	25	99	0.0002	0.009	0.0001	-5.17	0.05
15+	9	0	9	0.0	0.0011	0.0	-7.0	0.01
5 - <10	842	118	960	0.0019	0.1029	0.0002	-6.05	0.62
Grand Total	8184	485005	493189	1.0	1.0	1.0	0.0	0.69

max_time_btwn_txns_days	Category	CONFIRMED_FRAUD	NON_FRAUD	Grand Total	Share	PercentBad	PercentGood	WoE	IV
0 - <5	6919	412728	419647	0.8509	0.8454	0.851	0.01	0.0
10 - <15	299	21877	22176	0.045	0.0365	0.0451	0.21	0.0
15 - <20	133	10134	10267	0.0208	0.0163	0.0209	0.25	0.0
20+	55	6912	6967	0.0141	0.0067	0.0143	0.75	0.01
5 - <10	778	33354	34132	0.0692	0.0951	0.0688	-0.32	0.01
Grand Total	8184	485005	493189	1.0	1.0	1.0	0.0	0.02

avg_time_btwn_txns_days	Category	CONFIRMED_FRAUD	NON_FRAUD	Grand Total	Share	PercentBad	PercentGood	WoE	IV
0 - <5	7994	447855	455849	0.9243	0.9768	0.9234	-0.06	0.0
10 - <15	44	7972	8016	0.0163	0.0054	0.0164	1.12	0.01
15 - <20	9	2756	2765	0.0056	0.0011	0.0057	1.64	0.01
20+	9	3096	3105	0.0063	0.0011	0.0064	1.76	0.01
5 - <10	128	23326	23454	0.0476	0.0156	0.0481	1.12	0.04
Grand Total	8184	485005	493189	1.0	1.0	1.0	0.0	0.07

txn_velocity_30d	Category	CONFIRMED_FRAUD	NON_FRAUD	Grand Total	Share	PercentBad	PercentGood	WoE	IV
0 - <5	5921	484781	490702	0.995	0.7235	0.9995	0.32	0.09
10 - <15	413	59	472	0.001	0.0505	0.0001	-6.03	0.3
15 - <20	441	22	463	0.0009	0.0539	0.0	-7.08	0.38
20 - <25	317	4	321	0.0007	0.0387	0.0	-8.45	0.33
25 - <30	120	0	120	0.0002	0.0147	0.0	-9.59	0.14
30 - <35	101	1	102	0.0002	0.0123	0.0	-8.7	0.11
35 - <40	116	0	116	0.0002	0.0142	0.0	-9.56	0.14
40+	147	0	147	0.0003	0.018	0.0	-9.8	0.18
5 - <10	608	138	746	0.0015	0.0743	0.0003	-5.56	0.41
Grand Total	8184	485005	493189	1.0	1.0	1.0	0.0	2.07

txn_velocity_week_wk1	Category	CONFIRMED_FRAUD	NON_FRAUD	Grand Total	Share	PercentBad	PercentGood	WoE	IV
0 - <10	6576	484896	491472	0.9965	0.8035	0.9998	0.22	0.04
10 - <20	436	73	509	0.001	0.0533	0.0002	-5.87	0.31
20 - <30	409	25	434	0.0009	0.05	0.0001	-6.88	0.34
30 - <40	336	6	342	0.0007	0.0411	0.0	-8.11	0.33
40 - <50	236	3	239	0.0005	0.0288	0.0	-8.45	0.24
50+	191	2	193	0.0004	0.0233	0.0	-8.64	0.2
Grand Total	8184	485005	493189	1.0	1.0	1.0	0.0	1.48

txn_velocity_week_wk2	Category	CONFIRMED_FRAUD	NON_FRAUD	Grand Total	Share	PercentBad	PercentGood	WoE	IV
0 - <10	6281	484935	491216	0.996	0.7675	0.9999	0.26	0.06
10 - <20	533	61	594	0.0012	0.0651	0.0001	-6.25	0.41
20 - <30	419	3	422	0.0009	0.0512	0.0	-9.02	0.46
30 - <40	351	4	355	0.0007	0.0429	0.0	-8.56	0.37
40 - <50	290	2	292	0.0006	0.0354	0.0	-9.06	0.32
50+	310	0	310	0.0006	0.0379	0.0	-10.54	0.4
Grand Total	8184	485005	493189	1.0	1.0	1.0	0.0	2.02

txn_velocity_week_wk3	Category	CONFIRMED_FRAUD	NON_FRAUD	Grand Total	Share	PercentBad	PercentGood	WoE	IV
0 - <10	7018	484950	491968	0.9975	0.8575	0.9999	0.15	0.02
10 - <20	452	44	496	0.001	0.0552	0.0001	-6.41	0.35
20 - <30	151	6	157	0.0003	0.0185	0.0	-7.31	0.13
30 - <40	130	3	133	0.0003	0.0159	0.0	-7.85	0.12
40 - <50	161	1	162	0.0003	0.0197	0.0	-9.16	0.18
50+	272	1	273	0.0006	0.0332	0.0	-9.69	0.32
Grand Total	8184	485005	493189	1.0	1.0	1.0	0.0	1.14

txn_velocity_week_wk4	Category	CONFIRMED_FRAUD	NON_FRAUD	Grand Total	Share	PercentBad	PercentGood	WoE	IV
0 - <10	7520	484881	492401	0.9984	0.9189	0.9997	0.08	0.01
10 - <20	186	58	244	0.0005	0.0227	0.0001	-5.25	0.12
20 - <30	164	13	177	0.0004	0.02	0.0	-6.62	0.13
30 - <40	123	7	130	0.0003	0.015	0.0	-6.95	0.1
40 - <50	74	12	86	0.0002	0.009	0.0	-5.9	0.05
50+	117	34	151	0.0003	0.0143	0.0001	-5.32	0.08
Grand Total	8184	485005	493189	1.0	1.0	1.0	0.0	0.49

txn_velocity_delta_wk2_vs_wk1	Category	CONFIRMED_FRAUD	NON_FRAUD	Grand Total	Share	PercentBad	PercentGood	WoE	IV
0	5445	457373	462818	0.9384	0.6653	0.943	0.35	0.1
negative accel (<0)	1069	16050	17119	0.0347	0.1306	0.0331	-1.37	0.13
positive accel (>0)	1670	11582	13252	0.0269	0.2041	0.0239	-2.15	0.39
Grand Total	8184	485005	493189	1.0	1.0	1.0	0.0	0.62

txn_velocity_delta_wk3_vs_wk2	Category	CONFIRMED_FRAUD	NON_FRAUD	Grand Total	Share	PercentBad	PercentGood	WoE	IV
0	5884	462301	468185	0.9493	0.719	0.9532	0.28	0.07
negative accel (<0)	1419	11304	12723	0.0258	0.1734	0.0233	-2.01	0.3
positive accel (>0)	881	11400	12281	0.0249	0.1076	0.0235	-1.52	0.13
Grand Total	8184	485005	493189	1.0	1.0	1.0	0.0	0.5

txn_velocity_delta_wk4_vs_wk3	Category	CONFIRMED_FRAUD	NON_FRAUD	Grand Total	Share	PercentBad	PercentGood	WoE	IV
0	6695	459668	466363	0.9456	0.8181	0.9478	0.15	0.02
negative accel (<0)	754	10604	11358	0.023	0.0921	0.0219	-1.44	0.1
positive accel (>0)	735	14733	15468	0.0314	0.0898	0.0304	-1.08	0.06
Grand Total	8184	485005	493189	1.0	1.0	1.0	0.0	0.18

txn_velocity_accel_wk3	Category	CONFIRMED_FRAUD	NON_FRAUD	Grand Total	Share	PercentBad	PercentGood	WoE	IV
0	6308	465843	472151	0.9573	0.7708	0.9605	0.22	0.04
negative accel (<0)	1361	8220	9581	0.0194	0.1663	0.0169	-2.28	0.34
positive accel (>0)	515	10942	11457	0.0232	0.0629	0.0226	-1.03	0.04
Grand Total	8184	485005	493189	1.0	1.0	1.0	0.0	0.42

txn_velocity_accel_wk4	Category	CONFIRMED_FRAUD	NON_FRAUD	Grand Total	Share	PercentBad	PercentGood	WoE	IV
0	7129	465560	472689	0.9584	0.8711	0.9599	0.1	0.01
negative accel (<0)	611	8100	8711	0.0177	0.0747	0.0167	-1.5	0.09
positive accel (>0)	444	11345	11789	0.0239	0.0543	0.0234	-0.84	0.03
Grand Total	8184	485005	493189	1.0	1.0	1.0	0.0	0.12

txn_count_day_volatility_30d	Category	CONFIRMED_FRAUD	NON_FRAUD	Grand Total	Share	PercentBad	PercentGood	WoE	IV
0 - <10	5876	484772	490648	0.9948	0.718	0.9995	0.33	0.09
10 - <20	1017	137	1154	0.0023	0.1243	0.0003	-6.09	0.75
20 - <30	928	62	990	0.002	0.1134	0.0001	-6.79	0.77
30 - <40	224	27	251	0.0005	0.0274	0.0001	-6.2	0.17
40 - <50	66	3	69	0.0001	0.0081	0.0	-7.17	0.06
50+	73	4	77	0.0002	0.0089	0.0	-6.99	0.06
Grand Total	8184	485005	493189	1.0	1.0	1.0	0.0	1.91

max_txn_count_day	Category	CONFIRMED_FRAUD	NON_FRAUD	Grand Total	Share	PercentBad	PercentGood	WoE	IV
0 - <20	5449	484600	490049	0.9936	0.6658	0.9992	0.41	0.14
20 - <40	614	221	835	0.0017	0.075	0.0005	-5.1	0.38
40 - <60	484	65	549	0.0011	0.0591	0.0001	-6.09	0.36
60 - <80	508	52	560	0.0011	0.0621	0.0001	-6.36	0.39
80+	1129	67	1196	0.0024	0.138	0.0001	-6.91	0.95
Grand Total	8184	485005	493189	1.0	1.0	1.0	0.0	2.22

