Category,CONFIRMED_FRAUD,NON_FRAUD,Grand Total,Share,PercentBad,PercentGood,WoE,IV
NNCR_Fishermall Quezon Ave Oct 2024,4,183,187,0.0004,0.0005,0.0004,-0.26,0.0
NNCR_Gaisano Binangonan Oct 2024,0,26,26,0.0001,0.0,0.0001,0.0,0.0
NNCR_Primark Kasiglahan Oct 2024,2,9,11,0.0,0.0002,0.0,-2.58,0.0
NNCR_Riverbanks Oct 2024,2,241,243,0.0005,0.0002,0.0005,0.71,0.0
NNCR_Tanay Town Center Dec 2024,1,45,46,0.0001,0.0001,0.0001,-0.28,0.0
NNCR_Uno West Insula Sept 2024,0,4,4,0.0,0.0,0.0,0.0,0.0
NNCR_Victory Liner Feb 2025,1,3,4,0.0,0.0001,0.0,-2.98,0.0
NNCR_Wilcon Home Essential_Dec 2024,0,2,2,0.0,0.0,0.0,0.0,0.0
NNCR_XENTROMALL MONTALBAN_DEC 2024,1,76,77,0.0002,0.0001,0.0002,0.25,0.0
NNCR_XRC Square Oct 2024,1,3,4,0.0,0.0001,0.0,-2.98,0.0
No Kiosk Interaction,6645,153370,160015,0.3244,0.812,0.3162,-0.94,0.47
POPS District Building Wodd Coffee Shop Siargao,0,23,23,0.0,0.0,0.0,0.0,0.0
Polystar Office Moonwalk,2,130,132,0.0003,0.0002,0.0003,0.09,0.0
RDS ABREEZA MALL DAVAO,5,1934,1939,0.0039,0.0006,0.004,1.88,0.01
RDS AYALA CAGAYAN DE ORO,1,647,648,0.0013,0.0001,0.0013,2.39,0.0
RDS CITI SQUARE MALABON,1,628,629,0.0013,0.0001,0.0013,2.36,0.0
RDS FESTIVAL MALL ALABANG,3,1336,1339,0.0027,0.0004,0.0028,2.02,0.0
RDS GALLERIA SOUTH,1,687,688,0.0014,0.0001,0.0014,2.45,0.0
RDS GEN TRIAS,3,1360,1363,0.0028,0.0004,0.0028,2.03,0.0
RDS LIMKETKEI CAGAYAN DE ORO,1,976,977,0.002,0.0001,0.002,2.8,0.01
RDS MALL OF AL NOR COTABATO,5,773,778,0.0016,0.0006,0.0016,0.96,0.0
RDS NEPOMALL ANGELES,3,1642,1645,0.0033,0.0004,0.0034,2.22,0.01
RDS NEPOMALL DAGUPAN,0,526,526,0.0011,0.0,0.0011,0.0,0.0
RDS RP ANGELES,0,261,261,0.0005,0.0,0.0005,0.0,0.0
RDS RP ANTIQUE,0,451,451,0.0009,0.0,0.0009,0.0,0.0
RDS RP Antipolo,8,1363,1371,0.0028,0.001,0.0028,1.06,0.0
RDS RP BACOLOD,5,881,886,0.0018,0.0006,0.0018,1.09,0.0
RDS RP Butuan,4,806,810,0.0016,0.0005,0.0017,1.22,0.0
RDS RP CABANATUAN,2,832,834,0.0017,0.0002,0.0017,1.95,0.0
RDS RP Cebu,50,1457,1507,0.0031,0.0061,0.003,-0.71,0.0
RDS RP DUMAGUETE,2,855,857,0.0017,0.0002,0.0018,1.98,0.0
RDS RP Ermita,8,923,931,0.0019,0.001,0.0019,0.67,0.0
RDS RP GEN SAN,3,1043,1046,0.0021,0.0004,0.0022,1.77,0.0
RDS RP Galleria,1,557,558,0.0011,0.0001,0.0011,2.24,0.0
RDS RP Gapan,1,935,936,0.0019,0.0001,0.0019,2.76,0.0
RDS RP ILIGAN,4,1074,1078,0.0022,0.0005,0.0022,1.51,0.0
RDS RP ILOCOS NORTE,4,1371,1375,0.0028,0.0005,0.0028,1.76,0.0
RDS RP ILOILO,2,1232,1234,0.0025,0.0002,0.0025,2.34,0.01
RDS RP IMUS,2,874,876,0.0018,0.0002,0.0018,2.0,0.0
RDS RP JARO,2,603,605,0.0012,0.0002,0.0012,1.63,0.0
RDS RP LAS PINAS,5,1188,1193,0.0024,0.0006,0.0024,1.39,0.0
RDS RP La Union,2,1801,1803,0.0037,0.0002,0.0037,2.72,0.01
RDS RP Lipa,6,603,609,0.0012,0.0007,0.0012,0.53,0.0
RDS RP MAGNOLIA,1,274,275,0.0006,0.0001,0.0006,1.53,0.0
RDS RP METROEAST,5,1174,1179,0.0024,0.0006,0.0024,1.38,0.0
RDS RP Malolos,6,1802,1808,0.0037,0.0007,0.0037,1.62,0.0
RDS RP NAGA,1,786,787,0.0016,0.0001,0.0016,2.58,0.0
RDS RP NORTH TACLOBAN,2,618,620,0.0013,0.0002,0.0013,1.65,0.0
RDS RP ORMOC,3,678,681,0.0014,0.0004,0.0014,1.34,0.0
RDS RP PALAWAN,3,1063,1066,0.0022,0.0004,0.0022,1.79,0.0
RDS RP PAMPANGA,4,1464,1468,0.003,0.0005,0.003,1.82,0.0
RDS RP PANGASINAN,6,1294,1300,0.0026,0.0007,0.0027,1.29,0.0
RDS RP PAVIA,0,448,448,0.0009,0.0,0.0009,0.0,0.0
RDS RP ROXAS,1,1502,1503,0.003,0.0001,0.0031,3.23,0.01
RDS RP SANTIAGO,2,1730,1732,0.0035,0.0002,0.0036,2.68,0.01
RDS RP TACLOBAN,3,1356,1359,0.0028,0.0004,0.0028,2.03,0.0
RDS RP TAGUM,3,1085,1088,0.0022,0.0004,0.0022,1.81,0.0
RDS RP TUGUEGARAO,2,1442,1444,0.0029,0.0002,0.003,2.5,0.01
RDS RP VALENCIA,0,875,875,0.0018,0.0,0.0018,0.0,0.0
RDS Robinsons Galleria Cebu,3,652,655,0.0013,0.0004,0.0013,1.3,0.0
RDS TOWN CENTER CALAPAN,1,648,649,0.0013,0.0001,0.0013,2.39,0.0
RE 100 WEST MAKATI,0,258,258,0.0005,0.0,0.0005,0.0,0.0
RE Alaminos Laguna,1,418,419,0.0008,0.0001,0.0009,1.95,0.0
RE Alima Bay Bacoor,0,2,2,0.0,0.0,0.0,0.0,0.0
RE Amaia Pasig,2,241,243,0.0005,0.0002,0.0005,0.71,0.0
RE Apalit Pampanga,3,306,309,0.0006,0.0004,0.0006,0.54,0.0
RE Arnaiz Pasay,1,399,400,0.0008,0.0001,0.0008,1.91,0.0
RE Aurora Escalades,2,212,214,0.0004,0.0002,0.0004,0.58,0.0
RE BF Resort Village Las Pinas,0,203,203,0.0004,0.0,0.0004,0.0,0.0
RE Babo Sacan Porac Pampanga,0,137,137,0.0003,0.0,0.0003,0.0,0.0
RE Bagong Kalsada Laguna,1,326,327,0.0007,0.0001,0.0007,1.7,0.0
RE Balisong Taal Batangas,1,194,195,0.0004,0.0001,0.0004,1.19,0.0
RE Bangad Cabanatuan,1,305,306,0.0006,0.0001,0.0006,1.64,0.0
RE Baras Rizal,1,297,298,0.0006,0.0001,0.0006,1.61,0.0
RE Basak Lapu-lapu Cebu,3,220,223,0.0005,0.0004,0.0005,0.21,0.0
RE Bauan Batangas,12,481,493,0.001,0.0015,0.001,-0.39,0.0
RE Better Living Paranaque,10,371,381,0.0008,0.0012,0.0008,-0.47,0.0
RE Binangonan Rizal,0,394,394,0.0008,0.0,0.0008,0.0,0.0
RE Birmingham Meadows,1,254,255,0.0005,0.0001,0.0005,1.46,0.0
RE Buhay na Tubig Imus,1,431,432,0.0009,0.0001,0.0009,1.98,0.0
RE Burgos Cavite City,4,298,302,0.0006,0.0005,0.0006,0.23,0.0
RE C&B Circle Mall Marikina,8,330,338,0.0007,0.001,0.0007,-0.36,0.0
RE C. RAYMUNDO PASIG,1,274,275,0.0006,0.0001,0.0006,1.53,0.0
RE CALACA,1,391,392,0.0008,0.0001,0.0008,1.89,0.0
RE CALUMPIT,1,158,159,0.0003,0.0001,0.0003,0.98,0.0
RE CULIAT TOWN CENTER,1,366,367,0.0007,0.0001,0.0008,1.82,0.0
RE Cabahug Cebu,3,221,224,0.0005,0.0004,0.0005,0.22,0.0
RE Cabuyao Bayan Laguna,0,360,360,0.0007,0.0,0.0007,0.0,0.0
RE Cacutud,0,229,229,0.0005,0.0,0.0005,0.0,0.0
RE Calamba,0,442,442,0.0009,0.0,0.0009,0.0,0.0
RE Capitol Blvd Pampanga,0,122,122,0.0002,0.0,0.0003,0.0,0.0
RE Casa Anselmo Malolos,0,81,81,0.0002,0.0,0.0002,0.0,0.0
RE Castillejos Zambales,0,589,589,0.0012,0.0,0.0012,0.0,0.0
RE City Center Tarlac,2,205,207,0.0004,0.0002,0.0004,0.55,0.0
RE Cityland Santolan Pasig,2,218,220,0.0004,0.0002,0.0004,0.61,0.0
RE Concepcion Tarlac,1,291,292,0.0006,0.0001,0.0006,1.59,0.0
RE Crown B Bldg Sto Tomas,1,81,82,0.0002,0.0001,0.0002,0.31,0.0
RE Cutcut Angeles Pampanga,0,138,138,0.0003,0.0,0.0003,0.0,0.0
RE Dahlia Avenue Quezon City,0,194,194,0.0004,0.0,0.0004,0.0,0.0
RE E. Rodriguez Sr. QC,1,623,624,0.0013,0.0001,0.0013,2.35,0.0
RE FIL AM FRIENDSHIP Angeles,5,226,231,0.0005,0.0006,0.0005,-0.27,0.0
RE Fairview Center Mall,0,567,567,0.0011,0.0,0.0012,0.0,0.0
RE Farmers Araneta Cubao,3,700,703,0.0014,0.0004,0.0014,1.37,0.0
RE Filinvest Batasan Hills,2,244,246,0.0005,0.0002,0.0005,0.72,0.0
RE Fortune King Naic Cavite,5,253,258,0.0005,0.0006,0.0005,-0.16,0.0
RE Friendship Angeles,2,536,538,0.0011,0.0002,0.0011,1.51,0.0
RE General Avenue QC,1,570,571,0.0012,0.0001,0.0012,2.26,0.0
RE Gil Carlos Baliwag,2,433,435,0.0009,0.0002,0.0009,1.3,0.0
RE Gloria Diaz Las Pinas,2,170,172,0.0003,0.0002,0.0004,0.36,0.0
RE Grand Villas Resort Pateros,2,339,341,0.0007,0.0002,0.0007,1.05,0.0
RE Green Gate Malagasang Imus,5,153,158,0.0003,0.0006,0.0003,-0.66,0.0
RE Guimba Nueva Ecija,1,568,569,0.0012,0.0001,0.0012,2.26,0.0
RE Gun-ob Looc Cebu,3,385,388,0.0008,0.0004,0.0008,0.77,0.0
RE HERMANOS SAN PABLO,3,555,558,0.0011,0.0004,0.0011,1.14,0.0
RE HPL Guiguinto Bulacan,1,0,1,0.0,0.0001,0.0,0.0,-0.0
RE Hagonoy Bulacan,1,123,124,0.0003,0.0001,0.0003,0.73,0.0
RE Harmony Village Laguna,0,229,229,0.0005,0.0,0.0005,0.0,0.0
RE Hilario San Pablo Laguna,2,378,380,0.0008,0.0002,0.0008,1.16,0.0
RE Hillside Plaza Sumulong,0,390,390,0.0008,0.0,0.0008,0.0,0.0
RE Holiday Island Bagong Silang,13,447,460,0.0009,0.0016,0.0009,-0.54,0.0
RE JP Rizal Pililla,0,214,214,0.0004,0.0,0.0004,0.0,0.0
RE Jocevil Centre Tumana,3,377,380,0.0008,0.0004,0.0008,0.75,0.0
RE Kambal Road San Mateo Rizal,1,493,494,0.001,0.0001,0.001,2.12,0.0
RE Kapitan Pepe Cabanatuan,0,98,98,0.0002,0.0,0.0002,0.0,0.0
RE LAGO DE ORO CALATAGAN BATANGAS,1,184,185,0.0004,0.0001,0.0004,1.13,0.0
RE Lagro Quirino Hi-Way,0,227,227,0.0005,0.0,0.0005,0.0,0.0
RE Lancaster Square Imus,1,256,257,0.0005,0.0001,0.0005,1.46,0.0
RE Liberty Building Boni,3,491,494,0.001,0.0004,0.001,1.02,0.0
RE Ligtasan Tarlac,0,149,149,0.0003,0.0,0.0003,0.0,0.0
RE M Naval Navotas,1,169,170,0.0003,0.0001,0.0003,1.05,0.0
RE Mactan Newtown Center,1,319,320,0.0006,0.0001,0.0007,1.68,0.0
RE Maginhawa Teachers Village,3,609,612,0.0012,0.0004,0.0013,1.23,0.0
RE Maguyam Road Silang Cavite,0,181,181,0.0004,0.0,0.0004,0.0,0.0
RE Malitlit,0,186,186,0.0004,0.0,0.0004,0.0,0.0
RE Manhattan Heights Cubao,1,276,277,0.0006,0.0001,0.0006,1.54,0.0
RE Mapandan Pangasinan,0,365,365,0.0007,0.0,0.0008,0.0,0.0
RE Mariposa Arcade Kapasigan,1,544,545,0.0011,0.0001,0.0011,2.22,0.0
RE Market Ave Pasig,2,521,523,0.0011,0.0002,0.0011,1.48,0.0
RE Market City Mall Tarlac,3,846,849,0.0017,0.0004,0.0017,1.56,0.0
RE Maypajo Caloocan,7,39,46,0.0001,0.0009,0.0001,-2.36,0.0
RE Megasaver Magalang,1,354,355,0.0007,0.0001,0.0007,1.79,0.0
RE Metro Point Mall Taft,7,2428,2435,0.0049,0.0009,0.005,1.77,0.01
RE Metroplaza Bagong Silang,7,410,417,0.0008,0.0009,0.0008,-0.01,0.0
RE N Domingo San Juan,0,219,219,0.0004,0.0,0.0005,0.0,0.0
RE Naga Road Las Pinas,0,313,313,0.0006,0.0,0.0006,0.0,0.0
RE Noah Building Aguirre,3,257,260,0.0005,0.0004,0.0005,0.37,0.0
RE Old Sauyo Quezon City,2,178,180,0.0004,0.0002,0.0004,0.41,0.0
RE One Mercedes Plaza Pasig,2,1234,1236,0.0025,0.0002,0.0025,2.34,0.01
RE Orani Bataan,1,229,230,0.0005,0.0001,0.0005,1.35,0.0
RE P Tuazon Benitez QC,0,543,543,0.0011,0.0,0.0011,0.0,0.0
RE PAJAC LAPU LAPU CEBU,0,161,161,0.0003,0.0,0.0003,0.0,0.0
RE PANDAN TABUN ANGELES,1,372,373,0.0008,0.0001,0.0008,1.84,0.0
RE PARIAN CALAMBA LAGUNA,6,1267,1273,0.0026,0.0007,0.0026,1.27,0.0
RE PITX,12,3129,3141,0.0064,0.0015,0.0065,1.48,0.01
RE POBLACION EAST MUNOZ NE,1,550,551,0.0011,0.0001,0.0011,2.23,0.0
RE Pembo Makati,1,430,431,0.0009,0.0001,0.0009,1.98,0.0
RE Platinum Plaza Pardo Cebu,0,258,258,0.0005,0.0,0.0005,0.0,0.0
RE Project 4 Quezon City,4,517,521,0.0011,0.0005,0.0011,0.78,0.0
RE QUEZON AVENUE,0,415,415,0.0008,0.0,0.0009,0.0,0.0
RE Rizal Nueva Ecija,2,629,631,0.0013,0.0002,0.0013,1.67,0.0
RE Robinsons Homes Antipolo,2,276,278,0.0006,0.0002,0.0006,0.85,0.0
RE Roblou Market Place Cainta,4,291,295,0.0006,0.0005,0.0006,0.21,0.0
RE Rodlea Bldg Bamban Tarlac,0,202,202,0.0004,0.0,0.0004,0.0,0.0
RE SAN FRANCISCO LAGUNA,0,299,299,0.0006,0.0,0.0006,0.0,0.0
RE SINILOAN LAGUNA,5,339,344,0.0007,0.0006,0.0007,0.13,0.0
RE SKYLINE DRIVE SJDM BULACAN,35,560,595,0.0012,0.0043,0.0012,-1.31,0.0
RE SUCLAYIN BALER AURORA,0,129,129,0.0003,0.0,0.0003,0.0,0.0
RE Sacred Heart Caloocan,0,242,242,0.0005,0.0,0.0005,0.0,0.0
RE San Agustin Tanza Cavite,0,208,208,0.0004,0.0,0.0004,0.0,0.0
RE San Isidro Candon City,1,484,485,0.001,0.0001,0.001,2.1,0.0
RE San Jose Del Monte Bulacan,2,251,253,0.0005,0.0002,0.0005,0.75,0.0
RE San Lorenzo Place Makati,2,614,616,0.0012,0.0002,0.0013,1.64,0.0
RE San Lucas Laguna,0,3,3,0.0,0.0,0.0,0.0,0.0
RE San Mateo,1,603,604,0.0012,0.0001,0.0012,2.32,0.0
RE San Miguel,3,164,167,0.0003,0.0004,0.0003,-0.08,0.0
RE San Sebastian Tarlac,0,141,141,0.0003,0.0,0.0003,0.0,0.0
RE San Vicente Tarlac,0,155,155,0.0003,0.0,0.0003,0.0,0.0
RE Sandoval Avenue Pasig,2,401,403,0.0008,0.0002,0.0008,1.22,0.0
RE Shop N Ride Novaliches,1,366,367,0.0007,0.0001,0.0008,1.82,0.0
RE Solana Plaza Bacolor,5,320,325,0.0007,0.0006,0.0007,0.08,0.0
RE Soldiers Muntinlupa,0,3,3,0.0,0.0,0.0,0.0,0.0
RE Stamford McKinley Hill,0,352,352,0.0007,0.0,0.0007,0.0,0.0
RE Starhomes Tarlac,0,99,99,0.0002,0.0,0.0002,0.0,0.0
RE Sto. Domingo Binan Laguna,0,255,255,0.0005,0.0,0.0005,0.0,0.0
RE Sunbest Building Lagro,2,126,128,0.0003,0.0002,0.0003,0.06,0.0
RE Susano Complex Novaliches,2,435,437,0.0009,0.0002,0.0009,1.3,0.0
RE The Emerald Court Project 6,0,282,282,0.0006,0.0,0.0006,0.0,0.0
RE The Link,1,453,454,0.0009,0.0001,0.0009,2.03,0.0
