Category,CONFIRMED_FRAUD,NON_FRAUD,Grand Total,Share,PercentBad,PercentGood,WoE,IV
RE San Isidro Candon City,1,483,484,0.001,0.0001,0.001,2.1,0.0
RE San Jose Del Monte Bulacan,2,251,253,0.0005,0.0002,0.0005,0.75,0.0
RE San Lorenzo Place Makati,2,617,619,0.0013,0.0002,0.0013,1.65,0.0
RE San Lucas Laguna,0,3,3,0.0,0.0,0.0,0.0,0.0
RE San Mateo,1,603,604,0.0012,0.0001,0.0012,2.32,0.0
RE San Miguel,3,164,167,0.0003,0.0004,0.0003,-0.08,0.0
RE San Sebastian Tarlac,0,140,140,0.0003,0.0,0.0003,0.0,0.0
RE San Vicente Tarlac,0,155,155,0.0003,0.0,0.0003,0.0,0.0
RE Sandoval Avenue Pasig,2,400,402,0.0008,0.0002,0.0008,1.22,0.0
RE Shop N Ride Novaliches,1,366,367,0.0007,0.0001,0.0008,1.82,0.0
RE Solana Plaza Bacolor,5,320,325,0.0007,0.0006,0.0007,0.08,0.0
RE Soldiers Muntinlupa,0,3,3,0.0,0.0,0.0,0.0,0.0
RE Stamford McKinley Hill,0,353,353,0.0007,0.0,0.0007,0.0,0.0
RE Starhomes Tarlac,0,99,99,0.0002,0.0,0.0002,0.0,0.0
RE Sto. Domingo Binan Laguna,0,255,255,0.0005,0.0,0.0005,0.0,0.0
RE Sunbest Building Lagro,2,127,129,0.0003,0.0002,0.0003,0.07,0.0
RE Susano Complex Novaliches,2,435,437,0.0009,0.0002,0.0009,1.3,0.0
RE The Emerald Court Project 6,0,283,283,0.0006,0.0,0.0006,0.0,0.0
RE The Link,1,454,455,0.0009,0.0001,0.0009,2.04,0.0
